,Open,High,Low,Close
0,49.630997,49.678413,49.561832,49.62764
1,49.574116,49.6119,49.489227,49.564236
2,49.52882,49.578148,49.46623,49.527313
3,49.562164,49.63492,49.529858,49.58027
4,49.600826,49.660164,49.545822,49.606564
5,49.561935,49.609688,49.49457,49.559364
6,49.554516,49.614944,49.50629,49.56024
7,49.602108,49.66223,49.551952,49.60444
8,49.622387,49.671375,49.560047,49.61904
9,49.8127,49.88784,49.783504,49.825706
10,49.867428,49.910175,49.78796,49.85795
11,49.9553,50.023186,49.900936,49.960247
12,49.888687,49.9352,49.80727,49.885975
13,49.791435,49.82753,49.70668,49.78132
14,49.792183,49.84546,49.74203,49.791153
15,49.900284,49.990574,49.89452,49.926117
16,49.958015,50.023037,49.899906,49.964478
17,49.92482,49.978294,49.857716,49.92306
18,49.914658,49.981476,49.855347,49.91912
19,49.876904,49.932457,49.812584,49.87629
20,49.868256,49.920357,49.80734,49.865414
21,49.823807,49.867645,49.754475,49.817295
22,49.825325,49.88356,49.76971,49.82502
23,49.839256,49.90609,49.791862,49.845787
24,49.80928,49.87554,49.751247,49.817295
25,49.74027,49.78432,49.672276,49.737007
26,49.76616,49.826588,49.719852,49.76901
27,49.845528,49.903732,49.79848,49.845863
28,49.87129,49.919327,49.80144,49.86676
29,49.837547,49.87332,49.756855,49.824974
30,49.831383,49.87557,49.762646,49.82144
31,49.804504,49.854424,49.738506,49.80125
32,49.769455,49.80298,49.690544,49.755527
33,49.786507,49.828873,49.731403,49.778038
34,49.81347,49.870174,49.75839,49.812202
35,49.79208,49.84207,49.727154,49.79004
36,49.76974,49.805893,49.68871,49.75623
37,49.8151,49.8664,49.762684,49.811718
38,49.800888,49.848045,49.727398,49.796463
39,49.750656,49.782867,49.667233,49.738136
40,49.722847,49.761208,49.652386,49.71285
41,49.689476,49.73869,49.63634,49.690403
42,49.742767,49.803795,49.69737,49.746223
43,49.787888,49.84195,49.733425,49.787483
44,49.746475,49.805573,49.68423,49.753716
45,49.865738,49.9513,49.834347,49.8845
46,49.87108,49.925644,49.803516,49.87236
47,49.92284,49.983337,49.86437,49.925255
48,49.898773,49.944626,49.8223,49.892525
49,49.930298,49.98656,49.87561,49.92528
50,49.92717,49.9881,49.871952,49.928085
51,49.905735,49.964622,49.836193,49.90638
52,49.892975,49.942688,49.82275,49.8853
53,49.920765,49.981907,49.87003,49.920883
54,49.924973,49.977844,49.860462,49.922676
55,49.930126,49.974327,49.860035,49.92103
56,49.957558,50.00428,49.892612,49.94873
57,49.973404,50.02117,49.909588,49.966095
58,50.09321,50.188423,50.043865,50.114883
59,50.15429,50.198425,50.07887,50.142715
60,50.184387,50.231674,50.122562,50.18235
61,50.346718,50.427105,50.295486,50.357887
62,50.310715,50.342377,50.221638,50.292816
63,50.28167,50.304222,50.19521,50.254257
64,50.29567,50.3365,50.23572,50.27733
65,50.243774,50.296173,50.17162,50.236607
66,50.23741,50.29314,50.17554,50.229385
67,50.21025,50.22693,50.123745,50.176506
68,50.199158,50.272446,50.147816,50.203472
69,50.254917,50.326294,50.205494,50.259247
70,50.28656,50.329697,50.213367,50.271767
71,50.277367,50.331562,50.208252,50.271202
72,50.24612,50.29606,50.172398,50.23778
73,50.29545,50.375618,50.259777,50.307182
74,50.296047,50.344772,50.219173,50.28757
75,50.31162,50.365883,50.24806,50.304203
76,50.320934,50.382195,50.26073,50.31906
77,50.366135,50.432518,50.313046,50.36622
78,50.389526,50.448036,50.322926,50.384865
79,50.387707,50.42943,50.305664,50.370834
80,50.393394,50.439552,50.31784,50.37789
81,50.343796,50.383835,50.2658,50.330067
82,50.307854,50.349926,50.229183,50.294334
83,50.289703,50.322563,50.213047,50.27159
84,50.326122,50.37394,50.2644,50.314247
85,50.37883,50.43165,50.320744,50.371094
86,50.39257,50.440693,50.321613,50.382675
87,50.37602,50.420525,50.298946,50.362152
88,50.364395,50.409832,50.28995,50.35093
89,50.314384,50.360725,50.254787,50.30648
90,50.314743,50.357605,50.239048,50.299706
91,50.34781,50.40331,50.29445,50.343773
92,50.359806,50.412735,50.29313,50.352837
93,50.329056,50.37936,50.251114,50.31932
94,50.339,50.390144,50.274178,50.328747
95,50.245132,50.271835,50.15353,50.222816
96,50.179176,50.220184,50.107822,50.166576
97,50.170853,50.21036,50.10654,50.158707
98,50.17173,50.228043,50.116108,50.16965
99,50.169697,50.2118,50.099476,50.158325
100,50.1372,50.181797,50.065105,50.127655
101,50.171593,50.237396,50.12705,50.17405
102,50.18592,50.240562,50.12366,50.18216
103,50.266064,50.3368,50.214214,50.269077
104,50.300034,50.358627,50.23565,50.294567
105,50.33934,50.397022,50.272274,50.33374
106,50.344955,50.39908,50.271828,50.33755
107,50.361534,50.4088,50.288776,50.350533
108,50.355476,50.400215,50.282345,50.343193
109,50.252556,50.27835,50.153866,50.22989
110,50.172882,50.213654,50.09634,50.15935
111,50.177788,50.220924,50.12076,50.169674
112,50.184547,50.23973,50.13195,50.182335
113,50.223946,50.278862,50.161194,50.218643
114,50.187523,50.235943,50.118958,50.180412
115,50.211258,50.271027,50.14571,50.206604
116,50.198803,50.253487,50.132607,50.194885
117,50.23304,50.29207,50.171864,50.231144
118,50.220726,50.26493,50.148354,50.208847
119,50.169502,50.215416,50.097286,50.159523
120,50.16321,50.210953,50.09792,50.15371
121,50.151165,50.209198,50.102333,50.150707
122,50.171227,50.222313,50.107227,50.16458
123,50.176937,50.222454,50.106976,50.16687
124,50.169487,50.214394,50.09907,50.156807
125,50.17975,50.238907,50.12228,50.17778
126,50.179432,50.227364,50.107754,50.169968
127,50.190903,50.253647,50.13001,50.189774
128,50.14318,50.199284,50.074085,50.141777
129,49.994694,50.043343,49.89344,49.990776
130,49.7569,49.761295,49.648502,49.728775
131,49.716396,49.73699,49.67082,49.70875
132,49.68141,49.700813,49.614243,49.661232
133,49.63688,49.65602,49.568417,49.61615
134,49.530056,49.55362,49.467197,49.513077
135,49.552574,49.604256,49.507732,49.5483
136,49.556488,49.63613,49.518024,49.57457
137,49.608673,49.667736,49.551727,49.611176
138,49.640846,49.678917,49.57283,49.626152
139,49.68737,49.75045,49.652348,49.69325
140,49.731224,49.795383,49.675976,49.73576
141,49.82374,49.886055,49.77093,49.828255
142,49.835186,49.8775,49.75878,49.824875
143,49.80056,49.852238,49.728474,49.797993
144,49.769306,49.810837,49.693554,49.759064
145,49.801003,49.85193,49.7465,49.797375
146,49.788895,49.840828,49.723286,49.786495
147,49.788086,49.84945,49.74052,49.79444
148,49.71209,49.785416,49.661716,49.728928
149,49.684452,49.735867,49.62131,49.683685
150,49.743107,49.80857,49.702175,49.74926
151,49.83153,49.892033,49.782246,49.831833
152,49.926384,49.980003,49.87015,49.920807
153,50.049503,50.130936,50.012867,50.06478
154,50.061886,50.11608,49.986717,50.060974
155,49.970097,50.007698,49.882915,49.958206
156,49.961243,50.00424,49.889614,49.9498
157,49.930893,49.996136,49.88753,49.93941
158,49.894455,49.935883,49.81538,49.885582
159,49.906216,49.97364,49.864746,49.91284
160,49.918144,49.98694,49.868847,49.9256
161,49.887047,49.963333,49.839436,49.902493
162,49.878044,49.936214,49.821514,49.879204
163,49.90142,49.97425,49.8607,49.910965
164,49.92195,49.991158,49.86616,49.928688
165,49.95735,50.024246,49.90362,49.96127
166,49.970795,50.030228,49.906193,49.968727
167,49.95963,50.009468,49.889767,49.952694
168,49.953724,50.014225,49.898853,49.956024
169,49.906845,49.943863,49.820824,49.89379
170,49.820538,49.854836,49.74602,49.807663
171,49.7426,49.779713,49.672634,49.736557
172,49.737328,49.78536,49.67865,49.733902
173,49.694305,49.727867,49.631702,49.683823
174,49.707523,49.75386,49.65891,49.70401
175,49.737404,49.775238,49.671738,49.725224
176,49.758507,49.812885,49.704205,49.75576
177,49.815727,49.870148,49.754307,49.81222
178,49.846233,49.882088,49.775177,49.82953
179,49.899315,49.95822,49.839733,49.899956
180,49.891083,49.932293,49.810974,49.88062
181,49.81658,49.836777,49.714653,49.79146
182,49.7614,49.800415,49.690388,49.74872
183,49.79435,49.842056,49.74544,49.792503
184,49.800026,49.84511,49.73013,49.793373
185,49.94091,50.01165,49.90561,49.947823
186,49.987118,50.041874,49.924854,49.985413
187,49.91105,49.956596,49.83023,49.905487
188,49.86312,49.903374,49.780964,49.852005
189,49.8692,49.913773,49.809612,49.861122
190,49.83166,49.87702,49.766758,49.827244
191,49.825245,49.88022,49.774216,49.82836
192,49.830055,49.888817,49.77606,49.833862
193,49.87967,49.946785,49.83061,49.88493
194,49.864075,49.92583,49.802612,49.868767
195,49.81671,49.867805,49.747387,49.81403
196,49.779312,49.831863,49.7206,49.777256
197,49.782913,49.844788,49.734905,49.79049
198,49.775986,49.82866,49.711807,49.77593
199,49.76013,49.811516,49.699474,49.757496
200,49.650246,49.711132,49.59482,49.6593
201,49.48107,49.535248,49.45326,49.49394
202,49.391563,49.428886,49.326443,49.389244
203,49.44414,49.490967,49.414677,49.449787
204,49.5221,49.580788,49.47784,49.522923
205,49.558617,49.604584,49.501957,49.551414
206,49.532013,49.5861,49.47344,49.5312
207,49.563972,49.648026,49.52405,49.584656
208,49.526627,49.60267,49.47262,49.544235
209,49.4973,49.568626,49.448177,49.510994
210,49.470245,49.57563,49.43825,49.505047
211,49.549614,49.61688,49.51189,49.55967
212,49.55079,49.61635,49.4956,49.56138
213,49.52979,49.584568,49.465496,49.532433
214,49.50966,49.573368,49.45944,49.518204
215,49.529747,49.58308,49.475964,49.530525
216,49.651474,49.715935,49.612957,49.655457
217,49.81129,49.877003,49.774612,49.81553
218,49.873764,49.919678,49.800358,49.86631
219,49.87848,49.909687,49.7917,49.864563
220,49.906326,49.94673,49.828632,49.893093
221,50.08595,50.176315,50.07667,50.107162
222,50.080696,50.106407,49.98363,50.060455
223,50.222633,50.290413,50.18249,50.22896
224,50.27018,50.334534,50.21085,50.27021
225,50.330257,50.397934,50.26524,50.32936
226,50.326134,50.371864,50.247696,50.310997
227,50.33776,50.385536,50.273067,50.329166
228,50.26977,50.331024,50.194767,50.269257
229,50.257523,50.312546,50.196163,50.251007
230,50.26982,50.346153,50.227222,50.276855
231,50.417053,50.500275,50.387417,50.42572
232,50.480583,50.552883,50.42098,50.481564
233,50.460613,50.52263,50.394554,50.45893
234,50.52935,50.591026,50.467228,50.521973
235,50.4626,50.528915,50.404278,50.468758
236,50.461224,50.503853,50.38232,50.447273
237,50.513718,50.589535,50.486774,50.524117
238,50.61129,50.7088,50.58492,50.631805
239,50.531246,50.58105,50.439835,50.51944
240,50.522465,50.592594,50.46423,50.521584
241,50.513855,50.587265,50.46728,50.519417
242,50.56892,50.649445,50.520874,50.57508
243,50.616787,50.68952,50.563442,50.61682
244,50.659126,50.720383,50.591045,50.649727
245,50.614143,50.676575,50.539516,50.607834
246,50.592148,50.657356,50.532207,50.589767
247,50.60666,50.66873,50.54578,50.60428
248,50.683678,50.736595,50.621887,50.670555
249,50.743286,50.811134,50.695446,50.740395
250,50.697014,50.773247,50.63557,50.70513
251,50.608246,50.64557,50.51118,50.588432
252,50.564465,50.638832,50.546177,50.57795
253,50.499046,50.522038,50.400578,50.476612
254,50.524246,50.564655,50.465393,50.507385
255,50.603615,50.665283,50.556713,50.597115
256,50.64066,50.69863,50.581924,50.629974
257,50.62912,50.704422,50.57211,50.63257
258,50.664604,50.745163,50.607876,50.667152
259,50.73526,50.809532,50.676533,50.73162
260,50.74843,50.812683,50.6787,50.742104
261,50.7726,50.855995,50.719746,50.778683
262,50.89627,50.961746,50.84043,50.88671
263,50.90162,50.95528,50.831474,50.889137
264,50.891827,50.933968,50.80718,50.87208
265,50.798378,50.823837,50.69862,50.769047
266,50.743908,50.793793,50.673275,50.731102
267,50.757572,50.809685,50.700027,50.749275
268,50.755745,50.802986,50.68839,50.743336
269,50.7153,50.787895,50.659943,50.721542
270,50.6084,50.661797,50.525795,50.602356
271,50.62489,50.705376,50.59744,50.637066
272,50.645973,50.713993,50.586643,50.64804
273,50.57996,50.611885,50.483356,50.556152
274,50.569016,50.610493,50.495068,50.547913
275,50.61531,50.675625,50.571915,50.61175
276,50.583862,50.64329,50.511105,50.5794
277,50.596302,50.66472,50.53629,50.59752
278,50.49662,50.530594,50.405373,50.477577
279,50.46261,50.519497,50.411194,50.460228
280,50.409874,50.479637,50.356724,50.416817
281,50.45602,50.50537,50.396423,50.444847
282,50.425262,50.47484,50.36433,50.414536
283,50.39846,50.44028,50.317135,50.38075
284,50.32907,50.401764,50.275402,50.335903
285,50.236702,50.28366,50.162968,50.230347
286,50.183594,50.23678,50.125286,50.17962
287,50.294025,50.37265,50.26816,50.30406
288,50.338264,50.413124,50.288692,50.344822
289,50.37317,50.43815,50.305958,50.369102
290,50.422012,50.491142,50.363873,50.420532
291,50.614502,50.72794,50.604053,50.641342
292,50.629402,50.702194,50.56793,50.637
293,50.682236,50.730568,50.596676,50.664078
294,50.750107,50.818436,50.699947,50.747433
295,50.99039,51.103027,50.965874,51.008904
296,50.98504,51.03521,50.896877,50.97052
297,50.970146,50.998207,50.869877,50.93869
298,51.03432,51.09143,50.973797,51.015804
299,51.145737,51.227196,51.100647,51.147835
300,51.277718,51.349167,51.223362,51.2688
301,51.377373,51.465775,51.319324,51.374504
302,51.358513,51.41976,51.26752,51.343147
303,51.301537,51.355247,51.215195,51.284996
304,51.339996,51.37474,51.2516,51.30774
305,51.473198,51.547035,51.42443,51.47059
306,51.46757,51.500206,51.37405,51.4352
307,51.44175,51.492603,51.35866,51.418762
308,51.33998,51.3936,51.25629,51.326145
309,51.22596,51.285378,51.157215,51.22133
310,51.234573,51.291824,51.19363,51.229954
311,51.11944,51.143124,51.034718,51.096348
312,51.04844,51.103153,50.980484,51.041435
313,51.103813,51.16431,51.052883,51.0946
314,51.10972,51.16696,51.049046,51.098923
315,51.146214,51.229057,51.08585,51.148376
316,51.151062,51.218903,51.086117,51.144394
317,51.148247,51.22353,51.082108,51.1444
318,51.150455,51.22989,51.082302,51.150417
319,51.167835,51.25063,51.11452,51.1725
320,51.16597,51.228832,51.094383,51.157524
321,51.189003,51.249413,51.12158,51.1782
322,51.18476,51.245544,51.113293,51.17577
323,51.147408,51.192493,51.06722,51.12732
324,51.146957,51.197273,51.076183,51.1296
325,51.16046,51.225533,51.103535,51.156433
326,51.137207,51.191933,51.059322,51.124817
327,51.077312,51.105976,50.977394,51.047913
328,51.003006,51.05551,50.93249,50.99314
329,50.79106,50.794453,50.669598,50.754402
330,50.8385,50.893883,50.799664,50.82795
331,50.885086,50.933956,50.834293,50.87878
332,50.91429,50.966576,50.84685,50.90258
333,50.94609,51.007946,50.872875,50.936268
334,50.97045,51.0391,50.91172,50.965775
335,51.11152,51.206528,51.07967,51.123077
336,51.164192,51.228096,51.088993,51.15545
337,51.220737,51.29422,51.149883,51.21201
338,51.21128,51.279633,51.13515,51.202652
339,51.190193,51.260406,51.11961,51.18518
340,51.154343,51.212723,51.076435,51.1453
341,51.10296,51.155075,51.028008,51.092476
342,51.007286,51.04779,50.92657,50.991673
